text,ade,term_PT
"i have been on lipitor for over a year and it did lower my cholesterol from 299 to 220, but i, too, have been having side effects, i guess now, that might be attributed to lipitor. i have this weird dizzy/vertigo/un-balanced-type feeling sometimes. it is a feeling like i need to hold on to something, in order to make my walk across a large area, like an airport. (i fly alot, so i walk throught a lot of airports.) i also have a lot of problems with frequent bowel movements. i also have arthritic knees, hands that are numb and tingling at times. i think since being on this drug, my arms are always falling asleep while i'm sleeping. i don't know whether all this is related to being on lipitor, but after reading some of this posts on this site, it is beginning to make me wonder!.",hands tingling,paraesthesia
"i have been on lipitor for over a year and it did lower my cholesterol from 299 to 220, but i, too, have been having side effects, i guess now, that might be attributed to lipitor. i have this weird dizzy/vertigo/un-balanced-type feeling sometimes. it is a feeling like i need to hold on to something, in order to make my walk across a large area, like an airport. (i fly alot, so i walk throught a lot of airports.) i also have a lot of problems with frequent bowel movements. i also have arthritic knees, hands that are numb and tingling at times. i think since being on this drug, my arms are always falling asleep while i'm sleeping. i don't know whether all this is related to being on lipitor, but after reading some of this posts on this site, it is beginning to make me wonder!.",dizzy,dizziness
"i have been on lipitor for over a year and it did lower my cholesterol from 299 to 220, but i, too, have been having side effects, i guess now, that might be attributed to lipitor. i have this weird dizzy/vertigo/un-balanced-type feeling sometimes. it is a feeling like i need to hold on to something, in order to make my walk across a large area, like an airport. (i fly alot, so i walk throught a lot of airports.) i also have a lot of problems with frequent bowel movements. i also have arthritic knees, hands that are numb and tingling at times. i think since being on this drug, my arms are always falling asleep while i'm sleeping. i don't know whether all this is related to being on lipitor, but after reading some of this posts on this site, it is beginning to make me wonder!.",arms are always falling asleep,hypoaesthesia
pain in shoulders joints to the point it was impossible to reach for anything above my shoulders. quit taking it and was back to normal in two months. my doctor said it was arthritis or bursitus due to my age. he still would rather i be a cripple and go back on lipitor.,pain in shoulders joints,arthralgia
"after i had been on it for 3 months,started breaking out in blisters,and my face looked like it was on fire. the dr took me off of it. but it helped my cholestrol.",blisters,blister
my levels went from 518 down to 175 to 190. no muscle pain or side effects. i also take 2000 mg of niacin a day. liver functions normal.,muscle pain,myalgia
"i am thrilled to have found this site. the depression, lazyness (i don't feel like doing anything), lack of ability to concentrate, short attention span, feeling of. cholersterol went from 260 to 180 in the first month. the stuff works; however it's changed my personality. quality of life is worth something. however, i agreed to it because diet and exercise didn't work. i had even lost 15 pounds (i'm 5 8.",depression,depression
"i am thrilled to have found this site. the depression, lazyness (i don't feel like doing anything), lack of ability to concentrate, short attention span, feeling of. cholersterol went from 260 to 180 in the first month. the stuff works; however it's changed my personality. quality of life is worth something. however, i agreed to it because diet and exercise didn't work. i had even lost 15 pounds (i'm 5 8.",lack of ability to concentrate,disturbance in attention
"i am thrilled to have found this site. the depression, lazyness (i don't feel like doing anything), lack of ability to concentrate, short attention span, feeling of. cholersterol went from 260 to 180 in the first month. the stuff works; however it's changed my personality. quality of life is worth something. however, i agreed to it because diet and exercise didn't work. i had even lost 15 pounds (i'm 5 8.",lazyness (i don't feel like doing anything),apathy
"i am thrilled to have found this site. the depression, lazyness (i don't feel like doing anything), lack of ability to concentrate, short attention span, feeling of. cholersterol went from 260 to 180 in the first month. the stuff works; however it's changed my personality. quality of life is worth something. however, i agreed to it because diet and exercise didn't work. i had even lost 15 pounds (i'm 5 8.",short attention span,attention deficit hyperactivity disorder
"i am thrilled to have found this site. the depression, lazyness (i don't feel like doing anything), lack of ability to concentrate, short attention span, feeling of. cholersterol went from 260 to 180 in the first month. the stuff works; however it's changed my personality. quality of life is worth something. however, i agreed to it because diet and exercise didn't work. i had even lost 15 pounds (i'm 5 8.",changed my personality,personality change
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",dizzyness,dizziness
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",chills,chills
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",diarrhea,diarrhoea
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",very weak,asthenia
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",vomiting,vomiting
"extreme diarrhea, vomiting, extreme sweating, dizzyness, very weak, powerful chills but no fever, bloody discharge. very bad reaction by my body.",extreme sweating,hyperhidrosis
"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just. this works for lowering cholesterol, but not so sure about the big picture. i hesitated going on it and now believe my original impression was probably correct. i am going to try something natural instead. the pain isn't worth it.",arms painful,pain in extremity
"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just. this works for lowering cholesterol, but not so sure about the big picture. i hesitated going on it and now believe my original impression was probably correct. i am going to try something natural instead. the pain isn't worth it.",joint pain,arthralgia
"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just. this works for lowering cholesterol, but not so sure about the big picture. i hesitated going on it and now believe my original impression was probably correct. i am going to try something natural instead. the pain isn't worth it.",pain,pain
"i have had muscle/joint pain, mainly in my arms which is very painful when i position them in certain ways; otherwise i am just. this works for lowering cholesterol, but not so sure about the big picture. i hesitated going on it and now believe my original impression was probably correct. i am going to try something natural instead. the pain isn't worth it.",muscle pain,myalgia
"had muscle pain in my back (primarily small of my back) and down my leg. i had tried lipitor before and the result was achy legs. after some time off of this drug and feeling better, i tried it again. my back hurt so bad that i went to a chiropractor twice and no relief. i thought i might have a bulging disc but decided to go off the lipitor again. after two months, i'm back to normal. i call this the drug from hell.",muscle pain,myalgia
"had muscle pain in my back (primarily small of my back) and down my leg. i had tried lipitor before and the result was achy legs. after some time off of this drug and feeling better, i tried it again. my back hurt so bad that i went to a chiropractor twice and no relief. i thought i might have a bulging disc but decided to go off the lipitor again. after two months, i'm back to normal. i call this the drug from hell.",achy legs,pain in extremity
"took 10 mg. for two years with no problems, then started to have burning,numb feet in toe area - both feet. also, had discomfort in right side upper and lower of stomach area. after assorted blood tests which were all normal, read an article regarding neurophathy and statins drugs. stopped the lipitor and slowly the stomach discomfort went away, but two years later my feet are still a mess. would not take this or any other statin drug.",numb feet in toe area,hypoaesthesia
"took 10 mg. for two years with no problems, then started to have burning,numb feet in toe area - both feet. also, had discomfort in right side upper and lower of stomach area. after assorted blood tests which were all normal, read an article regarding neurophathy and statins drugs. stopped the lipitor and slowly the stomach discomfort went away, but two years later my feet are still a mess. would not take this or any other statin drug.",stomach discomfort,abdominal pain upper
"took 10 mg. for two years with no problems, then started to have burning,numb feet in toe area - both feet. also, had discomfort in right side upper and lower of stomach area. after assorted blood tests which were all normal, read an article regarding neurophathy and statins drugs. stopped the lipitor and slowly the stomach discomfort went away, but two years later my feet are still a mess. would not take this or any other statin drug.",discomfort in right side upper and lower of stomach area,abdominal pain upper
"took 10 mg. for two years with no problems, then started to have burning,numb feet in toe area - both feet. also, had discomfort in right side upper and lower of stomach area. after assorted blood tests which were all normal, read an article regarding neurophathy and statins drugs. stopped the lipitor and slowly the stomach discomfort went away, but two years later my feet are still a mess. would not take this or any other statin drug.",burning feet in toe area,burning sensation
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",charlie horse in feet,muscle spasms
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",shoulder pain,arthralgia
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",severe muscle cramps,muscle spasms
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",stiffness,musculoskeletal stiffness
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",hardly walk,gait disturbance
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",tendonitis in my shoulders,rotator cuff syndrome
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",severe hip & feet pain,pain
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",tendonitis in elbows,tendonitis
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",severe hip & feet pain,pain in extremity
"severe muscle cramps, charlie horse in my calves and feet so bad at night that it brings me out of bed screaming. severe hip & feet pain and stiffness. can't hardly walk when i first get up from sitting short periods or in the morning. shoulder pain, tendonitis in my shoulders and elbows. etc it did lower my cholesterol but is not worth the side effects. i have stopped taking it and will just have to take my chances trying other things to lower cholesterol.",charlie horse in my calves,muscle spasms
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",feet pains,pain in extremity
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",chest hurt,chest pain
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",head hurt,headache
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",rashes,rash
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",pains in legs,pain in extremity
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",toes hurt,pain in extremity
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",fingers hurt,pain in extremity
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",pains neck,neck pain
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",jointaches,arthralgia
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",pains hips,arthralgia
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",backpain,back pain
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",ribs hurt,musculoskeletal chest pain
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",itches,pruritus
"jointaches,pains in legs,musclesoreness. feet pains,hips neck,backpain,fingers,toes,head,chest,ribs hurt. rashes,itches. have been on lipitor for4+yrs. i have type2 diabetes. had2 knee surguries. things have got worse instead of better. i am 54yrs old female and feel much older. ww. ihave stopped taking this drug. i havent took it for 2days and am feeling better hope i continue too. also on capiten,glcotrol,toprol,lasix,&ultram.",musclesoreness,myalgia
"i was prescribed this drug because i had spent a whole night in complete agony; abdominal pain, lower back pain, all that i imagine labor pain to be, except i was not in labor. though the cause of my pain remains undetermined, the arthrotec combined with paracetamol pretty much eliminated the pain. this was a big relief, as the 1200 mg of ibuprofen i had taken throughout the night had done nothing. i only took 1 arthrotec and 1 paracetamol and that did the trick. however: i had a very bad headache yesterday and ibuprofen again didn't work. i still had the other arthrotec pills left, so i took one. although it alleviated the pain, i got up this morning with heavy vaginal bleeding even though my period ended last week. i was relieved to read that this could be a side effect, as it means i probably don't have something serious, but i will have to be in some serious pain to risk bleeding from the vagina again. next time i'll try my luck with paracetamol. the pill i took consisted of 50 mg diclofenac and 200 mg misoprostol.",heavy vaginal bleeding,vaginal haemorrhage
"i was prescribed this drug because i had spent a whole night in complete agony; abdominal pain, lower back pain, all that i imagine labor pain to be, except i was not in labor. though the cause of my pain remains undetermined, the arthrotec combined with paracetamol pretty much eliminated the pain. this was a big relief, as the 1200 mg of ibuprofen i had taken throughout the night had done nothing. i only took 1 arthrotec and 1 paracetamol and that did the trick. however: i had a very bad headache yesterday and ibuprofen again didn't work. i still had the other arthrotec pills left, so i took one. although it alleviated the pain, i got up this morning with heavy vaginal bleeding even though my period ended last week. i was relieved to read that this could be a side effect, as it means i probably don't have something serious, but i will have to be in some serious pain to risk bleeding from the vagina again. next time i'll try my luck with paracetamol. the pill i took consisted of 50 mg diclofenac and 200 mg misoprostol.",headache,headache
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",cramps,muscle spasms
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",loss of muscle mass in hands,muscle atrophy
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",loss of muscle mass in face,muscle atrophy
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",loss of muscle mass in arms,muscle atrophy
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",muscle weakness,muscular weakness
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",slurred speech,dysarthria
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",depression,depression
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",fatigue,fatigue
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",muscle twitching in both arms,muscle twitching
"stated with joint and pain and muscle weakness, depression, fatigue and cramps. at each annual visit to the dr i would tell him my symptoms and mention i thought it was the lipitor, he waould always say no way and i need to continue the statin drug. my symptoms gradualy got worse over the next 5-6 years, currently i have muscle twitching in both arms, loss of muscle mass in arms, hands and face with slurred speech. took myself off the lipitor a year ago. joint pain is completly gone. was told my dr i may have als. saw an als specialist feb, 2002, she said she could not diagnosis als at this time as you have to have 3 extermities effected and i have 1 1/2. she said she has seen over 100 patients with symptoms the same as mine that had been on statin drugs. i can't begin to tell you what a scary year this has been. but am holding out hope i will improve in time. have read that some people it taks 1-2 years to improve at all. i trusted my doctor!!!!!!!! now i trust that what i was felling 6 years ago was not all in my head. anyone with simular symptoms or coments please e-mail.",joint pain,arthralgia
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",very painful muscle aches in the neck,myalgia
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",headache,headache
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",headaches,headache
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",severe headaches,headache
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",pain in my knee,arthralgia
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",tightening of neck muscles,hypertonia
"after 3 years, i have very painful muscle aches in the neck and back, pain in my knee, severe headaches (getting worse), pain in leg muscles. interestingly, my new doc took me off lipitor a week ago. i thought i had a severe medical problem like fibromyalgia, brain tumor, etc within this week, a lot of my muscle pain has gone away. the tightening of neck muscles was causing headaches. i am now headache free!! hope i continue to improve---will have to now address cholesterol as it worked wonders with that.",very painful muscle aches back,back pain
